Gmt time,Open,High,Low,Close,Volume
2021-05-07 13:30:00+05:30,967.28,968.45,966.8,967.63,189348
2021-05-07 13:45:00+05:30,967.85,969.3,967.38,968.98,293068
2021-05-07 14:00:00+05:30,968.88,969.98,967.05,967.5,496372
2021-05-07 14:15:00+05:30,967.5,967.75,964.9,965.4,367430
2021-05-07 14:30:00+05:30,965.45,968.7,965.1,968.3,433218
2021-05-07 14:45:00+05:30,968.5,969.5,967.55,967.88,360316
2021-05-07 15:00:00+05:30,967.75,968.13,966.18,966.73,715500
2021-05-07 15:15:00+05:30,966.75,967.0,963.0,965.88,1100654
2021-05-10 09:15:00+05:30,969.5,972.75,962.33,970.43,1320442
2021-05-10 09:30:00+05:30,970.05,970.38,966.98,968.05,422612
2021-05-10 09:45:00+05:30,968.13,968.45,962.53,963.68,716468
2021-05-10 10:00:00+05:30,963.5,965.0,961.35,964.85,460522
2021-05-10 10:15:00+05:30,964.98,965.48,963.5,965.1,295002
2021-05-10 10:30:00+05:30,965.05,965.75,964.5,965.18,209522
2021-05-10 10:45:00+05:30,965.18,965.5,963.5,964.0,207232
2021-05-10 11:00:00+05:30,964.0,967.5,963.55,967.2,444156
2021-05-10 11:15:00+05:30,967.18,969.93,967.18,968.5,551274
2021-05-10 11:30:00+05:30,968.1,969.0,966.75,967.93,193416
2021-05-10 11:45:00+05:30,967.9,969.43,967.0,969.33,202750
2021-05-10 12:00:00+05:30,969.4,971.15,968.45,970.23,391046
2021-05-10 12:15:00+05:30,970.18,970.5,969.18,969.88,156256
2021-05-10 12:30:00+05:30,969.95,972.35,969.83,970.83,314298
2021-05-10 12:45:00+05:30,970.9,973.4,969.7,971.5,469808
2021-05-10 13:00:00+05:30,971.5,971.5,967.05,967.45,503332
2021-05-10 13:15:00+05:30,967.25,967.73,966.28,967.13,454292
2021-05-10 13:30:00+05:30,967.03,967.5,965.45,967.0,380290
2021-05-10 13:45:00+05:30,967.03,967.2,965.2,965.55,378582
2021-05-10 14:00:00+05:30,965.6,966.0,964.38,964.45,510142
2021-05-10 14:15:00+05:30,964.38,966.15,963.0,963.58,447876
2021-05-10 14:30:00+05:30,963.28,964.13,962.0,962.48,559458
2021-05-10 14:45:00+05:30,962.45,962.8,961.63,962.05,483856
2021-05-10 15:00:00+05:30,962.05,965.6,962.05,962.7,1300864
2021-05-10 15:15:00+05:30,962.7,963.83,960.48,963.1,1486250
2021-05-11 09:15:00+05:30,957.5,965.5,955.0,965.25,1833842
2021-05-11 09:30:00+05:30,965.13,967.4,963.38,966.88,859872
2021-05-11 09:45:00+05:30,966.9,967.23,964.13,965.83,486812
2021-05-11 10:00:00+05:30,965.8,966.25,963.5,964.15,354308
2021-05-11 10:15:00+05:30,964.38,965.48,961.23,961.25,434084
2021-05-11 10:30:00+05:30,961.25,963.35,961.15,961.58,402354
2021-05-11 10:45:00+05:30,961.55,962.4,961.3,962.4,232552
2021-05-11 11:00:00+05:30,962.45,963.53,962.05,963.53,230658
2021-05-11 11:15:00+05:30,963.5,964.83,962.43,962.88,352150
2021-05-11 11:30:00+05:30,962.88,966.48,962.88,966.48,575276
2021-05-11 11:45:00+05:30,966.48,968.25,965.0,966.18,614882
2021-05-11 12:00:00+05:30,966.18,967.9,966.1,967.73,310406
2021-05-11 12:15:00+05:30,967.73,968.0,966.55,968.0,284890
2021-05-11 12:30:00+05:30,967.98,969.28,966.75,967.8,363392
